Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81970312014365LGN00, 197, 031, 197, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20141231102355_20141231110743.01,LT8BPF20141222180001_20150106000000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/31,2014:365:10:30:12.8843030,2014:365:10:30:44.6542990,2015/05/12,9,1.55,22.67739664,159.80535037,4.224,6.904,319,2,Y,LPGS_2.5.0,41°45'35.14"N,2°51'12.78"E,42°49'03.22"N,2°00'18.18"E,42°24'12.71"N,4°15'54.25"E,40°41'11.54"N,3°40'08.90"E,41°05'52.30"N,1°28'05.48"E,41.75976,2.85355,42.81756,2.00505,42.40353,4.26507,40.68654,3.66914,41.09786,1.46819,LC81970312014365LGN00,LC81970312014365LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970312014365LGN00
LC81970302014365LGN00, 197, 030, 197, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20141231102355_20141231110743.01,LT8BPF20141222180001_20150106000000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/31,2014:365:10:29:49.0017380,2014:365:10:30:20.7717340,2015/05/12,9,3.64,21.43387254,160.36375054,4.589,6.041,385,2,Y,LPGS_2.5.0,43°11'05.32"N,3°19'55.34"E,44°14'39.23"N,2°28'02.03"E,43°49'27.16"N,4°46'49.12"E,42°06'34.74"N,4°09'42.08"E,42°31'34.97"N,1°54'42.73"E,43.18481,3.33204,44.24423,2.46723,43.82421,4.78031,42.10965,4.16169,42.52638,1.91187,LC81970302014365LGN00,LC81970302014365LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970302014365LGN00
LC81990292014363LGN00, 199, 029, 199, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20141229103642_20141229112006.01,LT8BPF20141222180001_20150106000000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/29,2014:363:10:41:48.6387340,2014:363:10:42:20.4087300,2016/01/13,9,.33,20.11462029,161.18394161,5.026,7.335,517,3,Y,LPGS_2.6.0,44°36'29.95"N,0°43'54.59"E,45°40'10.16"N,0°09'00.58"W,45°14'34.58"N,2°13'11.50"E,43°31'52.03"N,1°34'34.86"E,43°57'13.46"N,0°43'33.20"W,44.60832,.73183,45.66949,-.15016,45.24294,2.21986,43.53112,1.57635,43.95374,-.72589,LC81990292014363LGN00,LC81990292014363LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990292014363LGN00
LC81990302014363LGN00, 199, 030, 199, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20141229103642_20141229112006.01,LT8BPF20141222180001_20150106000000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/29,2014:363:10:42:12.5212990,2014:363:10:42:44.2912950,2016/01/13,9,6.17,21.3653842,160.6306926,5.412,7.372,331,3,Y,LPGS_2.6.0,43°11'06.14"N,0°14'07.40"E,44°14'40.13"N,0°37'47.10"W,43°49'27.70"N,1°41'02.36"E,42°06'35.60"N,1°03'55.37"E,42°31'36.23"N,1°11'06.29"W,43.18504,.23539,44.24448,-.62975,43.82436,1.68399,42.10989,1.06538,42.52673,-1.18508,LC81990302014363LGN00,LC81990302014363LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990302014363LGN00
LC81990282014363LGN00, 199, 028, 199, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20141229103642_20141229112006.01,LT8BPF20141222180001_20150106000000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/29,2014:363:10:41:24.7519330,2014:363:10:41:56.5219290,2015/05/13,9,1.22,18.86019124,161.73809769,5.508,7.281,405,2,Y,LPGS_2.5.0,46°01'47.82"N,1°14'53.70"E,47°05'35.41"N,0°20'54.28"E,46°39'34.52"N,2°46'43.90"E,44°57'01.69"N,2°06'28.51"E,45°22'46.06"N,0°14'59.53"W,46.02995,1.24825,47.09317,.34841,46.65959,2.77886,44.95047,2.10792,45.37946,-.24987,LC81990282014363LGN00,LC81990282014363LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990282014363LGN00
LC81990312014363LGN00, 199, 031, 199, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20141229103642_20141229112006.01,LT8BPF20141222180001_20150106000000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/29,2014:363:10:42:36.4123360,2014:363:10:43:08.1823330,2016/01/13,9,1.89,22.61284391,160.0754907,4.867,6.599,519,3,Y,LPGS_2.6.0,41°45'34.13"N,0°14'35.66"W,42°49'02.42"N,1°05'31.88"W,42°24'11.41"N,1°10'07.18"E,40°41'10.43"N,0°34'21.97"E,41°05'51.65"N,1°37'44.40"W,41.75948,-.24324,42.81734,-1.09219,42.40317,1.16866,40.68623,.57277,41.09768,-1.629,LC81990312014363LGN00,LC81990312014363LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990312014363LGN00
LC81940292014360LGN00, 194, 029, 194, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20141226100551_20141226105203.01,LT8BPF20141222180001_20150106000000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/26,2014:360:10:10:56.9518570,2014:360:10:11:28.7218530,2015/05/13,9,3.05,20.06280917,161.57449414,4.889,7.06,434,2,Y,LPGS_2.5.0,44°36'29.99"N,8°26'58.06"E,45°40'10.02"N,7°34'04.80"E,45°14'35.27"N,9°56'12.80"E,43°31'52.21"N,9°17'36.17"E,43°57'12.89"N,6°59'32.10"E,44.60833,8.44946,45.66945,7.568,45.24313,9.93689,43.53117,9.29338,43.95358,6.99225,LC81940292014360LGN00,LC81940292014360LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940292014360LGN00
LC81940302014360LGN00, 194, 030, 194, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20141226100551_20141226105203.01,LT8BPF20141222180001_20150106000000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/26,2014:360:10:11:20.8344220,2014:360:10:11:52.6044180,2015/05/13,9,3.37,21.31861736,161.02521184,5.113,6.843,298,2,Y,LPGS_2.5.0,43°11'06.07"N,7°57'10.91"E,44°14'39.34"N,7°05'22.63"E,43°49'29.24"N,9°23'59.68"E,42°06'36.11"N,8°46'52.72"E,42°31'34.39"N,6°32'03.16"E,43.18502,7.95303,44.24426,7.08962,43.82479,9.39991,42.11003,8.78131,42.52622,6.53421,LC81940302014360LGN00,LC81940302014360LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940302014360LGN00
LC81980292014356LGN00, 198, 029, 198, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20141222103036_20141222111400.01,LT8BPF20141219163122_20141222180000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/22,2014:356:10:35:42.1820710,2014:356:10:36:13.9520680,2016/01/13,9,10.49,20.09966581,162.06992027,5.057,6.883,387,3,Y,LPGS_2.6.0,44°36'30.10"N,2°16'00.52"E,45°40'10.42"N,1°23'05.57"E,45°14'34.69"N,3°45'17.28"E,43°31'52.14"N,3°06'40.25"E,43°57'13.75"N,0°48'32.54"E,44.60836,2.26681,45.66956,1.38488,45.24297,3.7548,43.53115,3.11118,43.95382,.80904,LC81980292014356LGN00,LC81980292014356LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980292014356LGN00
LC81930312014353LGN00, 193, 031, 193, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20141219095942_20141219105705.02,LT8BPF20141219095548_20141219105759.01,L8CPF20141209_20141219.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/19,2014:353:10:05:36.1177090,2014:353:10:06:07.8877050,2015/05/14,9,10.7,22.7356393,161.33318543,5.34,7.247,273,2,Y,LPGS_2.5.0,41°45'34.20"N,9°01'07.39"E,42°49'01.99"N,8°10'15.92"E,42°24'12.31"N,10°25'46.27"E,40°41'10.79"N,9°50'00.60"E,41°05'50.68"N,7°38'02.76"E,41.7595,9.01872,42.81722,8.17109,42.40342,10.42952,40.68633,9.8335,41.09741,7.6341,LC81930312014353LGN00,LC81930312014353LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930312014353LGN00
LC81920312014346LGN00, 192, 031, 192, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20141212095304_20141212104004.01,LT8BPF20141209203000_20141212235959.04,L8CPF20141001_20141231.02,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/12,2014:346:09:59:22.2025340,2014:346:09:59:53.9725300,2014/12/12,9,5.49,23.2539552,162.06052218,5.592,6.391,-1,2,Y,LPGS_2.4.0,41°45'34.81"N,10°34'50.70"E,42°49'02.64"N,9°43'57.68"E,42°24'12.53"N,11°59'30.62"E,40°41'11.36"N,11°23'45.10"E,41°05'51.65"N,9°11'44.74"E,41.75967,10.58075,42.8174,9.73269,42.40348,11.99184,40.68649,11.39586,41.09768,9.19576,LC81920312014346LGN00,LC81920312014346LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920312014346LGN00
LC81940302014344LGN00, 194, 030, 194, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20141210100527_20141210105203.01,LT8BPF20141209203000_20141212235959.04,L8CPF20141001_20141231.02,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/10,2014:344:10:11:21.1576870,2014:344:10:11:52.9276830,2014/12/10,9,3.61,22.19025042,162.78780781,5.021,6.223,-1,2,Y,LPGS_2.4.0,43°11'04.96"N,7°57'57.92"E,44°14'38.29"N,7°06'09.79"E,43°49'27.77"N,9°24'47.09"E,42°06'34.81"N,8°47'39.70"E,42°31'33.53"N,6°32'49.88"E,43.18471,7.96609,44.24397,7.10272,43.82438,9.41308,42.10967,8.79436,42.52598,6.54719,LC81940302014344LGN00,LC81940302014344LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81940302014344LGN00
