Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81990262014075LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20140316103358_20140316111745.01,LT8BPF20140316103004_20140316111838.01,L8CPF20140101_20140331.03,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/03/16,2014:075:10:41:03.5346020,2014:075:10:41:35.3045980,2014/03/16,9,8.01,36.86810489,155.30579251,4.912,5.45,-1,1,Y,LPGS_2.3.0,48°51'58.36"N,2°18'01.66"E,49°56'00.96"N,1°21'42.30"E,49°29'06.36"N,3°55'34.61"E,47°46'54.98"N,3°11'35.63"E,48°13'27.34"N,0°42'44.68"E,48.86621,2.30046,49.9336,1.36175,49.4851,3.92628,47.78194,3.19323,48.22426,.71241,LC81990262014075LGN00,LC81990262014075LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262014075LGN00,03,2014
LC81990262013104LGN01, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20130414103719_20130414105553.01,LT8BPF20130414103326_20130414105645.01,L8CPF20130401_20130627.08,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/04/14,2013:104:10:42:23.8825030,2013:104:10:42:53.6785230,2014/12/02,9,.12,48.34590292,154.23889807,4.804,5.332,-1,2,Y,LPGS_2.4.0,48°51'58.90"N,2°22'01.13"E,49°52'33.85"N,1°24'26.03"E,49°25'31.12"N,3°58'07.00"E,47°50'22.49"N,3°16'56.35"E,48°17'05.17"N,0°47'55.97"E,48.86636,2.36698,49.87607,1.40723,49.42531,3.96861,47.83958,3.28232,48.28477,.79888,LC81990262013104LGN01,LC81990262013104LGN01,http://earthexplorer.usgs.gov/download/options/4923/LC81990262013104LGN01,04,2013
LC81990262014139LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20140519102925_20140519111111.02,LT8BPF20140519102531_20140519111204.02,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/05/19,2014:139:10:40:04.9747140,2014:139:10:40:36.7447100,2014/05/19,9,.06,58.15995245,149.22507274,5.138,4.577,-1,1,Y,LPGS_2.3.0,48°51'58.93"N,2°21'19.91"E,49°56'04.27"N,1°25'05.66"E,49°29'01.68"N,3°58'58.44"E,47°46'52.90"N,3°14'48.48"E,48°13'32.95"N,0°45'56.92"E,48.86637,2.35553,49.93452,1.41824,49.4838,3.9829,47.78136,3.2468,48.22582,.76581,LC81990262014139LGN00,LC81990262014139LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262014139LGN00,05,2014
LC81990262015158LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150607102906_20150607105319.02,LT8BPF20150607102509_20150607105413.02,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/07,2015:158:10:39:46.5194740,2015:158:10:40:18.2894710,2015/06/07,9,3.15,60.48969897,146.10359716,4.896,4.476,404,2,Y,LPGS_2.5.1,48°51'59.18"N,2°21'33.80"E,49°56'04.74"N,1°25'19.96"E,49°29'01.46"N,3°59'12.80"E,47°46'52.93"N,3°15'01.80"E,48°13'33.67"N,0°46'10.09"E,48.86644,2.35939,49.93465,1.42221,49.48374,3.98689,47.78137,3.2505,48.22602,.76947,LC81990262015158LGN00,LC81990262015158LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262015158LGN00,06,2015
LC81990262013200LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20130719103550_20130719105604.02,LT8BPF20130719103156_20130719105657.02,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/07/19,2013:200:10:42:31.8608100,2013:200:10:43:03.6308060,2014/11/25,9,6.36,58.398286,145.46095484,4.745,4.446,-1,2,Y,LPGS_2.4.0,48°51'58.68"N,2°21'15.62"E,49°56'03.48"N,1°25'03.36"E,49°29'04.24"N,3°58'49.80"E,47°46'53.40"N,3°14'42.40"E,48°13'30.18"N,0°45'57.02"E,48.8663,2.35434,49.9343,1.4176,49.48451,3.9805,47.7815,3.24511,48.22505,.76584,LC81990262013200LGN00,LC81990262013200LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262013200LGN00,07,2013
LC81990262013232LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20130820103155_20130820105608.03,LT8BPF20130820102801_20130820105701.01,L8CPF20130701_20130919.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/08/20,2013:232:10:42:35.7362370,2013:232:10:43:07.5062330,2015/09/08,9,4.26,50.75249276,151.84993845,4.738,4.884,251,1,Y,LPGS_2.5.1,48°51'59.65"N,2°20'03.95"E,49°56'04.09"N,1°23'46.10"E,49°29'03.59"N,3°57'42.23"E,47°46'54.55"N,3°13'36.23"E,48°13'32.70"N,0°44'41.32"E,48.86657,2.33443,49.93447,1.39614,49.48433,3.96173,47.78182,3.22673,48.22575,.74481,LC81990262013232LGN00,LC81990262013232LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262013232LGN00,08,2013
LC81990262013248LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20130905103530_20130905111342.01,LT8BPF20130905103136_20130905111435.01,L8CPF20130701_20130919.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/05,2013:248:10:42:35.8881060,2013:248:10:43:07.6581020,2014/11/08,9,.1,45.69249962,156.0006642,4.536,4.46,-1,2,Y,LPGS_2.4.0,48°51'59.40"N,2°19'33.10"E,49°56'03.62"N,1°23'13.06"E,49°29'02.87"N,3°57'12.49"E,47°46'54.66"N,3°13'07.14"E,48°13'32.99"N,0°44'09.10"E,48.8665,2.32586,49.93434,1.38696,49.48413,3.95347,47.78185,3.21865,48.22583,.73586,LC81990262013248LGN00,LC81990262013248LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262013248LGN00,09,2013
LC81990262013280LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20131007103522_20131007105559.02,LT8BPF20131007103128_20131007105652.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/10/07,2013:280:10:42:27.3527460,2013:280:10:42:59.1227420,2015/11/07,9,8.19,34.32221128,163.12998519,4.937,5.977,221,1,Y,LPGS_2.5.1,48°51'58.43"N,2°19'57.04"E,49°56'02.33"N,1°23'39.05"E,49°29'03.26"N,3°57'33.95"E,47°46'53.87"N,3°13'29.35"E,48°13'30.50"N,0°44'35.95"E,48.86623,2.33251,49.93398,1.39418,49.48424,3.95943,47.78163,3.22482,48.22514,.74332,LC81990262013280LGN00,LC81990262013280LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262013280LGN00,10,2013
LC81990262014315LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20141111103454_20141111121411.01,LT8BPF20141111103101_20141111112111.02,L8CPF20141001_20141231.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/11/11,2014:315:10:40:48.0465810,2014:315:10:41:19.8165780,2014/11/11,9,6.68,22.79971539,166.12550775,4.944,7.86,-1,2,Y,LPGS_2.4.0,48°51'58.32"N,2°20'09.82"E,49°56'02.69"N,1°23'53.09"E,49°29'02.76"N,3°57'46.84"E,47°46'53.29"N,3°13'40.73"E,48°13'30.83"N,0°44'48.26"E,48.8662,2.33606,49.93408,1.39808,49.4841,3.96301,47.78147,3.22798,48.22523,.74674,LC81990262014315LGN00,LC81990262014315LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262014315LGN00,11,2014
LC81990262013344LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20131210103751_20131210112427.03,LT8BPF20131210103357_20131210112520.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/10,2013:344:10:42:09.6311860,2013:344:10:42:41.4011820,2015/06/12,9,1.33,17.08680802,165.27039874,5.203,7.627,188,2,Y,LPGS_2.5.1,48°51'59.11"N,2°18'16.88"E,49°56'02.51"N,1°21'57.02"E,49°29'04.56"N,3°55'53.47"E,47°46'54.98"N,3°11'50.93"E,48°13'30.61"N,0°42'55.76"E,48.86642,2.30469,49.93403,1.36584,49.4846,3.93152,47.78194,3.19748,48.22517,.71549,LC81990262013344LGN00,LC81990262013344LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262013344LGN00,12,2013
