Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC82040272015257LGN00, 204, 027, 204, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20150914104955_20150914123933.01,LT8BPF20150914104601_20150914114816.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/14,2015:257:11:11:47.4193920,2015:257:11:12:19.1893880,2015/09/14,9,18.18,43.64972044,156.45116099,5.591,5.951,19,-1,Y,LPGS_2.5.1,47°26'57.73"N,5°55'48.50"W,48°30'54.22"N,6°50'52.33"W,48°04'22.55"N,4°21'10.51"W,46°22'01.67"N,5°03'19.19"W,46°48'13.90"N,7°28'20.46"W,47.44937,-5.93014,48.51506,-6.84787,48.07293,-4.35292,46.36713,-5.05533,46.80386,-7.47235,LC82040272015257LGN00,LC82040272015257LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82040272015257LGN00
LC82040262015257LGN00, 204, 026, 204, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150914104955_20150914123933.01,LT8BPF20150914104601_20150914114816.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/14,2015:257:11:11:23.5410630,2015:257:11:11:55.3110590,2015/09/14,9,17.61,42.46626153,157.57986322,7.054,5.874,92,-1,Y,LPGS_2.5.1,48°51'58.14"N,5°22'00.55"W,49°56'03.23"N,6°18'14.29"W,49°29'01.36"N,3°44'23.03"W,47°46'52.43"N,4°28'32.38"W,48°13'31.84"N,6°57'22.54"W,48.86615,-5.36682,49.93423,-6.30397,49.48371,-3.73973,47.78123,-4.47566,48.22551,-6.95626,LC82040262015257LGN00,LC82040262015257LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82040262015257LGN00
LC81990252015254LGN00, 199, 025, 199, 025,FULL,NADIR,NOMINAL,N/A,LO8BPF20150911102944_20150911111534.02,LT8BPF20150911102550_20150911111658.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/11,2015:254:10:40:04.0150630,2015:254:10:40:35.7850590,2015/09/11,9,2.99,42.32941031,157.97424634,5.152,4.985,410,-1,Y,LPGS_2.5.1,50°16'52.14"N,2°57'07.67"E,51°21'06.95"N,1°59'39.66"E,50°53'31.42"N,4°38'01.54"E,49°11'35.59"N,3°51'38.23"E,49°38'45.24"N,1°18'40.03"E,50.28115,2.95213,51.35193,1.99435,50.89206,4.63376,49.19322,3.86062,49.6459,1.31112,LC81990252015254LGN00,LC81990252015254LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990252015254LGN00
LC81990242015254LGN00, 199, 024, 199, 024,FULL,NADIR,NOMINAL,N/A,LO8BPF20150911102944_20150911111534.02,LT8BPF20150911102550_20150911111658.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/11,2015:254:10:39:40.1324980,2015:254:10:40:11.9024940,2015/09/11,9,.61,41.13521015,159.11176143,5.581,5.1,376,-1,Y,LPGS_2.5.1,51°41'35.38"N,3°34'20.53"E,52°46'00.95"N,2°35'35.70"E,52°17'48.98"N,5°18'46.69"E,50°36'07.31"N,4°29'54.71"E,51°03'49.57"N,1°52'32.02"E,51.69316,3.57237,52.76693,2.59325,52.29694,5.31297,50.60203,4.49853,51.06377,1.87556,LC81990242015254LGN00,LC81990242015254LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990242015254LGN00
LC81990262015254LGN00, 199, 026, 199, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150911102944_20150911111534.02,LT8BPF20150911102550_20150911111658.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/11,2015:254:10:40:27.9018640,2015:254:10:40:59.6718600,2015/09/11,9,8.66,43.5132152,156.82148436,5.518,4.879,312,-1,Y,LPGS_2.5.1,48°51'58.68"N,2°21'42.01"E,49°56'03.88"N,1°25'27.41"E,49°29'01.54"N,3°59'20.58"E,47°46'52.86"N,3°15'11.02"E,48°13'32.70"N,0°46'19.02"E,48.8663,2.36167,49.93441,1.42428,49.48376,3.98905,47.78135,3.25306,48.22575,.77195,LC81990262015254LGN00,LC81990262015254LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990262015254LGN00
LC81990292015254LGN00, 199, 029, 199, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20150911102944_20150911111534.02,LT8BPF20150911102550_20150911111658.01,L8CPF20150701_20150930.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/11,2015:254:10:41:39.5580320,2015:254:10:42:11.3280280,2016/01/13,9,16.74,46.9913883,153.21443521,3.988,3.898,512,3,Y,LPGS_2.6.0,44°36'29.81"N,0°44'29.54"E,45°40'11.39"N,0°08'23.35"W,45°14'32.68"N,2°13'48.29"E,43°31'50.70"N,1°35'07.44"E,43°57'15.26"N,0°43'00.34"W,44.60828,.74154,45.66983,-.13982,45.24241,2.23008,43.53075,1.5854,43.95424,-.71676,LC81990292015254LGN00,LC81990292015254LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81990292015254LGN00
LC81920322015253LGN00, 192, 032, 192, 032,FULL,NADIR,NOMINAL,N/A,LO8BPF20150910094652_20150910112433.01,LT8BPF20150910094258_20150910103337.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/10,2015:253:09:59:34.9360140,2015:253:10:00:06.7060100,2015/09/10,9,5.8,50.65951322,148.88978821,5.764,5.372,297,-1,Y,LPGS_2.5.1,40°19'57.18"N,10°07'03.11"E,41°23'21.44"N,9°17'02.54"E,40°58'46.60"N,11°29'46.93"E,39°15'38.38"N,10°55'12.90"E,39°40'05.27"N,8°45'47.23"E,40.33255,10.11753,41.38929,9.28404,40.97961,11.49637,39.26066,10.92025,39.66813,8.76312,LC81920322015253LGN00,LC81920322015253LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920322015253LGN00
LC81920302015253LGN00, 192, 030, 192, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20150910094652_20150910112433.01,LT8BPF20150910094258_20150910103337.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/10,2015:253:09:58:47.1539390,2015:253:09:59:18.9239360,2015/09/10,9,.94,48.45786549,151.61134735,4.665,4.438,601,-1,Y,LPGS_2.5.1,43°11'05.71"N,11°03'36.61"E,44°14'40.06"N,10°11'50.39"E,43°49'26.83"N,12°30'27.47"E,42°06'34.49"N,11°53'16.62"E,42°31'35.87"N,9°38'26.88"E,43.18492,11.06017,44.24446,10.19733,43.82412,12.50763,42.10958,11.88795,42.52663,9.6408,LC81920302015253LGN00,LC81920302015253LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920302015253LGN00
LC81920312015253LGN00, 192, 031, 192, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20150910094652_20150910112433.01,LT8BPF20150910094258_20150910103337.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/10,2015:253:09:59:11.0407410,2015:253:09:59:42.8107370,2015/09/10,9,.16,49.56753528,150.27625901,3.911,4.011,230,-1,Y,LPGS_2.5.1,41°45'35.28"N,10°34'50.59"E,42°49'04.15"N,9°44'00.06"E,42°24'11.48"N,11°59'31.85"E,40°41'10.79"N,11°23'42.83"E,41°05'53.63"N,9°11'43.51"E,41.7598,10.58072,42.81782,9.73335,42.40319,11.99218,40.68633,11.39523,41.09823,9.19542,LC81920312015253LGN00,LC81920312015253LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81920312015253LGN00
LC82010262015252LGN00, 201, 026, 201, 026,FULL,NADIR,NOMINAL,N/A,LO8BPF20150909104141_20150909122058.01,LT8BPF20150909103747_20150909112917.02,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/09,2015:252:10:52:48.3457050,2015:252:10:53:20.1157020,2015/09/09,9,.16,44.19480608,156.3125047,5.752,5.254,308,-1,Y,LPGS_2.5.1,48°51'59.18"N,0°43'34.21"W,49°56'04.49"N,1°39'48.31"W,49°29'02.29"N,0°54'03.96"E,47°46'53.36"N,0°09'54.29"E,48°13'33.10"N,2°18'56.84"W,48.86644,-.72617,49.93458,-1.66342,49.48397,.9011,47.78149,.16508,48.22586,-2.31579,LC82010262015252LGN00,LC82010262015252LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82010262015252LGN00
