Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81980252013273LGN00, 198, 025, 198, 025,FULL,NADIR,NOMINAL,N/A,LO8BPF20130930102512_20130930104948.01,LT8BPF20130930101618_20130930105041.01,L8CPF20130920_20130930.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/30,2013:273:10:35:51.9655830,2013:273:10:36:23.7355790,2014/11/13,9,.18,35.61179428,162.74296516,5.03,5.225,-1,2,Y,LPGS_2.4.0,50°16'51.82"N,4°28'38.46"E,51°21'05.33"N,3°31'05.77"E,50°53'32.50"N,6°09'31.72"E,49°11'36.53"N,5°23'13.38"E,49°38'43.51"N,2°50'11.47"E,50.28106,4.47735,51.35148,3.51827,50.89236,6.15881,49.19348,5.38705,49.64542,2.83652,LC81980252013273LGN00,LC81980252013273LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81980252013273LGN00
LC82000242013271LGN00, 200, 024, 200, 024,FULL,NADIR,NOMINAL,N/A,LO8BPF20130928103756_20130928110145.01,LT8BPF20130928103402_20130928110238.01,L8CPF20130920_20130930.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/28,2013:271:10:47:49.1977620,2013:271:10:48:20.9677580,2015/04/29,9,20.59,35.08606448,163.28962345,6.159,5.385,259,2,Y,LPGS_2.5.0,51°41'34.76"N,2°00'34.74"E,52°45'59.00"N,1°01'44.65"E,52°17'49.78"N,3°45'00.50"E,50°36'08.03"N,2°56'13.85"E,51°03'47.66"N,0°18'46.69"E,51.69299,2.00965,52.76639,1.02907,52.29716,3.75014,50.60223,2.93718,51.06324,.31297,LC82000242013271LGN00,LC82000242013271LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82000242013271LGN00
LC81930312013270LGN00, 193, 031, 193, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20130927095441_20130927101805.02,LT8BPF20130927095047_20130927101858.01,L8CPF20130920_20130930.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/27,2013:270:10:07:20.4033160,2013:270:10:07:52.1733120,2015/05/27,9,5.5,44.05197686,156.287451,4.58,5.448,317,2,Y,LPGS_2.5.1,41°45'35.14"N,9°01'35.47"E,42°49'02.60"N,8°10'42.56"E,42°24'12.67"N,10°26'15.29"E,40°41'11.76"N,9°50'30.01"E,41°05'51.86"N,7°38'29.94"E,41.75976,9.02652,42.81739,8.17849,42.40352,10.43758,40.6866,9.84167,41.09774,7.64165,LC81930312013270LGN00,LC81930312013270LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81930312013270LGN00
LC81950282013268LGN00, 195, 028, 195, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130925100703_20130925104314.02,LT8BPF20130925100309_20130925104407.01,L8CPF20130920_20130930.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/25,2013:268:10:18:31.2299740,2013:268:10:19:02.9999700,2014/12/19,9,22.05,41.13428871,158.83257179,4.761,5.883,-1,2,Y,LPGS_2.4.0,46°01'46.13"N,7°25'33.96"E,47°05'33.25"N,6°31'34.39"E,46°39'32.22"N,8°57'24.16"E,44°57'00.14"N,8°17'08.74"E,45°22'44.58"N,5°55'40.66"E,46.02948,7.4261,47.09257,6.52622,46.65895,8.95671,44.95004,8.28576,45.37905,5.92796,LC81950282013268LGN00,LC81950282013268LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950282013268LGN00
LC81950302013268LGN00, 195, 030, 195, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20130925100703_20130925104314.02,LT8BPF20130925100309_20130925104407.01,L8CPF20130920_20130930.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/25,2013:268:10:19:18.9993410,2013:268:10:19:50.7693370,2015/09/19,9,22.86,43.54868017,156.79336021,3.751,4.622,322,1,Y,LPGS_2.5.1,43°11'05.03"N,6°24'47.84"E,44°14'38.44"N,5°32'56.26"E,43°49'26.98"N,7°51'39.92"E,42°06'34.81"N,7°14'32.93"E,42°31'34.50"N,4°59'36.96"E,43.18473,6.41329,44.24401,5.54896,43.82416,7.86109,42.10967,7.24248,42.52625,4.9936,LC81950302013268LGN00,LC81950302013268LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950302013268LGN00
LC81950292013268LGN00, 195, 029, 195, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20130925100703_20130925104314.02,LT8BPF20130925100309_20130925104407.01,L8CPF20130920_20130930.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/25,2013:268:10:18:55.1083030,2013:268:10:19:26.8783000,2015/03/19,9,15.06,42.34634278,157.82528005,4.54,5.318,-1,2,Y,LPGS_2.4.0,44°36'30.31"N,6°54'35.68"E,45°40'10.38"N,6°01'40.55"E,45°14'34.80"N,8°23'52.26"E,43°31'52.57"N,7°45'15.66"E,43°57'14.08"N,5°27'08.03"E,44.60842,6.90991,45.66955,6.02793,45.243,8.39785,43.53127,7.75435,43.95391,5.45223,LC81950292013268LGN00,LC81950292013268LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950292013268LGN00
LC81950272013268LGN00, 195, 027, 195, 027,FULL,NADIR,NOMINAL,N/A,LO8BPF20130925100703_20130925104314.02,LT8BPF20130925100309_20130925104407.01,L8CPF20130920_20130930.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/25,2013:268:10:18:07.3389370,2013:268:10:18:39.1089330,2014/12/19,9,9.96,39.91206929,159.82108822,4.498,4.104,-1,2,Y,LPGS_2.4.0,47°26'57.19"N,7°57'52.02"E,48°30'52.24"N,7°02'44.74"E,48°04'23.34"N,9°32'28.75"E,46°22'02.50"N,8°50'24.43"E,46°48'12.02"N,6°25'21.18"E,47.44922,7.96445,48.51451,7.04576,48.07315,9.54132,46.36736,8.84012,46.80334,6.42255,LC81950272013268LGN00,LC81950272013268LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81950272013268LGN00
LC81970282013266LGN00, 197, 028, 197, 028,FULL,NADIR,NOMINAL,N/A,LO8BPF20130923101902_20130923104339.01,LT8BPF20130923101508_20130923104432.02,L8CPF20130920_20130930.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/23,2013:266:10:30:54.2463890,2013:266:10:31:26.0163850,2015/03/04,9,10.01,41.84026866,158.34879684,4.141,4.367,-1,2,Y,LPGS_2.4.0,46°01'47.82"N,4°19'57.54"E,47°05'35.05"N,3°25'57.22"E,46°39'33.62"N,5°51'48.67"E,44°57'01.84"N,5°11'33.25"E,45°22'46.67"N,2°50'03.52"E,46.02995,4.33265,47.09307,3.43256,46.65934,5.86352,44.95051,5.19257,45.37963,2.83431,LC81970282013266LGN00,LC81970282013266LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970282013266LGN00
LC81970302013266LGN00, 197, 030, 197, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20130923101902_20130923104339.01,LT8BPF20130923101508_20130923104432.02,L8CPF20130920_20130930.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/23,2013:266:10:31:42.0199910,2013:266:10:32:13.7899870,2014/12/24,9,.08,44.24030029,156.25286544,3.823,3.569,-1,2,Y,LPGS_2.4.0,43°11'06.11"N,3°19'10.99"E,44°14'39.88"N,2°27'15.70"E,43°49'27.01"N,4°46'06.53"E,42°06'35.64"N,4°08'59.53"E,42°31'36.66"N,1°53'56.58"E,43.18503,3.31972,44.24441,2.45436,43.82417,4.76848,42.1099,4.14987,42.52685,1.89905,LC81970302013266LGN00,LC81970302013266LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970302013266LGN00
LC81970312013266LGN00, 197, 031, 197, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20130923101902_20130923104339.01,LT8BPF20130923101508_20130923104432.02,L8CPF20130920_20130930.05,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/23,2013:266:10:32:05.9067920,2013:266:10:32:37.6767880,2015/02/26,9,2.45,45.42304549,155.16121364,3.577,4.479,-1,2,Y,LPGS_2.4.0,41°45'35.50"N,2°50'28.10"E,42°49'03.58"N,1°59'31.49"E,42°24'12.31"N,4°15'11.20"E,40°41'11.90"N,3°39'25.99"E,41°05'53.41"N,1°27'19.12"E,41.75986,2.84114,42.81766,1.99208,42.40342,4.25311,40.68664,3.65722,41.09817,1.45531,LC81970312013266LGN00,LC81970312013266LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC81970312013266LGN00
