Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,TIRS SSM Model,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Date L1 Generated,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
LC81060352015147LGN00, 106, 035, 106, 035,FULL,NADIR,NOMINAL,N/A,LO8BPF20150527005811_20150527012911.01,LT8BPF20150527005417_20150527013004.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/27,2015:147:01:08:27.1774340,2015:147:01:08:58.9474300,2015/05/26,9,.18,66.83821015,124.29353321,4.134,3.484,9,2,Y,LPGS_2.5.1,36°02'35.34"N,141°41'23.78"E,37°05'47.90"N,140°53'51.47"E,36°42'01.76"N,142°58'51.78"E,34°58'31.58"N,142°27'24.77"E,35°22'14.45"N,140°25'06.67"E,36.04315,141.68994,37.09664,140.89763,36.70049,142.98105,34.97544,142.45688,35.37068,140.41852,LC81060352015147LGN00,LC81060352015147LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060352015147LGN00
LC81060342015147LGN00, 106, 034, 106, 034,FULL,NADIR,NOMINAL,N/A,LO8BPF20150527005811_20150527012911.01,LT8BPF20150527005417_20150527013004.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/27,2015:147:01:08:03.2863960,2015:147:01:08:35.0563930,2015/05/26,9,5.58,66.20802031,127.50597234,4.903,2.086,9,2,Y,LPGS_2.5.1,37°28'28.27"N,142°06'43.81"E,38°31'44.47"N,141°18'25.63"E,38°07'43.32"N,143°25'49.40"E,36°24'19.84"N,142°53'24.79"E,36°48'16.24"N,140°48'54.61"E,37.47452,142.11217,38.52902,141.30712,38.1287,143.43039,36.40551,142.89022,36.80451,140.81517,LC81060342015147LGN00,LC81060342015147LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060342015147LGN00
LC81060302015147LGN00, 106, 030, 106, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20150527005811_20150527012911.01,LT8BPF20150527005417_20150527013004.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/27,2015:147:01:06:27.7349560,2015:147:01:06:59.5049520,2015/05/26,9,.74,63.08142827,138.8169966,6.361,6.153,460,2,Y,LPGS_2.5.1,43°11'06.07"N,143°56'18.35"E,44°14'41.86"N,143°04'27.62"E,43°49'25.79"N,145°23'14.96"E,42°06'33.77"N,144°46'02.71"E,42°31'37.92"N,142°31'03.04"E,43.18502,143.93843,44.24496,143.07434,43.82383,145.38749,42.10938,144.76742,42.5272,142.51751,LC81060302015147LGN00,LC81060302015147LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060302015147LGN00
LC81080302015145LGN00, 108, 030, 108, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20150525011008_20150525014156.01,LT8BPF20150525010614_20150525014249.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/25,2015:145:01:18:49.0613690,2015:145:01:19:20.8313650,2015/05/24,9,.45,62.80225582,139.29338048,4.682,5.397,419,2,Y,LPGS_2.5.1,43°11'05.64"N,140°50'38.90"E,44°14'41.39"N,139°58'48.36"E,43°49'25.46"N,142°17'35.23"E,42°06'33.41"N,141°40'23.02"E,42°31'37.42"N,139°25'23.81"E,43.1849,140.84414,44.24483,139.9801,43.82374,142.29312,42.10928,141.67306,42.52706,139.42328,LC81080302015145LGN00,LC81080302015145LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81080302015145LGN00
LC81080322015145LGN00, 108, 032, 108, 032,FULL,NADIR,NOMINAL,N/A,LO8BPF20150525011008_20150525014156.01,LT8BPF20150525010614_20150525014249.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/25,2015:145:01:19:36.8349720,2015:145:01:20:08.6049680,2015/05/24,9,1.32,64.49742094,134.0281218,6.128,4.447,427,2,Y,LPGS_2.5.1,40°19'58.22"N,139°54'03.74"E,41°23'22.99"N,139°04'05.27"E,40°58'47.78"N,141°16'47.06"E,39°15'39.02"N,140°42'11.52"E,39°40'06.24"N,138°32'48.41"E,40.33284,139.90104,41.38972,139.06813,40.97994,141.27974,39.26084,140.7032,39.6684,138.54678,LC81080322015145LGN00,LC81080322015145LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81080322015145LGN00
LC81080292015145LGN00, 108, 029, 108, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20150525011008_20150525014156.01,LT8BPF20150525010614_20150525014249.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/25,2015:145:01:18:25.1745690,2015:145:01:18:56.9445650,2015/05/24,9,12.17,61.88602015,141.72017193,4.225,5.758,373,2,Y,LPGS_2.5.1,44°36'30.17"N,141°20'30.95"E,45°40'12.22"N,140°27'40.14"E,45°14'33.22"N,142°49'48.83"E,43°31'50.56"N,142°11'06.79"E,43°57'15.41"N,139°53'01.97"E,44.60838,141.34193,45.67006,140.46115,45.24256,142.83023,43.53071,142.18522,43.95428,139.88388,LC81080292015145LGN00,LC81080292015145LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81080292015145LGN00
LC81080332015145LGN00, 108, 033, 108, 033,FULL,NADIR,NOMINAL,N/A,LO8BPF20150525011008_20150525014156.01,LT8BPF20150525010614_20150525014249.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/25,2015:145:01:20:00.7260090,2015:145:01:20:32.4960050,2015/05/24,9,.08,65.26691136,131.17397916,4.488,4.525,406,2,Y,LPGS_2.5.1,38°54'15.23"N,139°27'09.47"E,39°57'35.42"N,138°38'02.54"E,39°33'18.11"N,140°47'59.68"E,37°50'01.68"N,140°14'32.64"E,38°14'12.73"N,138°07'41.23"E,38.90423,139.45263,39.95984,138.63404,39.55503,140.79991,37.8338,140.2424,38.23687,138.12812,LC81080332015145LGN00,LC81080332015145LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81080332015145LGN00
LC81080342015145LGN00, 108, 034, 108, 034,FULL,NADIR,NOMINAL,N/A,LO8BPF20150525011008_20150525014156.01,LT8BPF20150525010614_20150525014249.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/25,2015:145:01:20:24.6085740,2015:145:01:20:56.3785700,2015/05/24,9,4.73,65.97708439,128.16699396,4.179,4.453,355,2,Y,LPGS_2.5.1,37°28'28.88"N,139°01'05.05"E,38°31'45.08"N,138°12'46.51"E,38°07'44.00"N,140°20'10.57"E,36°24'20.41"N,139°47'46.25"E,36°48'16.81"N,137°43'15.82"E,37.47469,139.01807,38.52919,138.21292,38.12889,140.33627,36.40567,139.79618,36.80467,137.72106,LC81080342015145LGN00,LC81080342015145LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81080342015145LGN00
LC81080312015145LGN00, 108, 031, 108, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20150525011008_20150525014156.01,LT8BPF20150525010614_20150525014249.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/25,2015:145:01:19:12.9524060,2015:145:01:19:44.7224030,2015/05/24,9,7.48,63.67446264,136.73172838,4.955,4.008,440,2,Y,LPGS_2.5.1,41°45'33.80"N,140°21'51.62"E,42°49'03.90"N,139°30'58.03"E,42°24'09.11"N,141°46'36.70"E,40°41'08.45"N,141°10'46.52"E,41°05'53.38"N,138°58'40.51"E,41.75939,140.36434,42.81775,139.51612,42.40253,141.77686,40.68568,141.17959,41.09816,138.97792,LC81080312015145LGN00,LC81080312015145LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81080312015145LGN00
LC81100342015143LGN00, 110, 034, 110, 034,FULL,NADIR,NOMINAL,N/A,LO8BPF20150523012229_20150523015353.01,LT8BPF20150523011836_20150523015447.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/23,2015:143:01:32:45.8545930,2015:143:01:33:17.6245890,2015/05/22,9,14.49,65.7210668,128.8399134,4.346,3.192,68,2,Y,LPGS_2.5.1,37°28'27.34"N,135°55'27.23"E,38°31'43.57"N,135°07'08.08"E,38°07'42.31"N,137°14'33.07"E,36°24'18.97"N,136°42'08.75"E,36°48'15.48"N,134°37'37.38"E,37.47426,135.92423,38.52877,135.11891,38.12842,137.24252,36.40527,136.70243,36.8043,134.62705,LC81100342015143LGN00,LC81100342015143LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81100342015143LGN00
LC81120362015141LGN00, 112, 036, 112, 036,FULL,NADIR,NOMINAL,N/A,LO8BPF20150521013450_20150521020638.01,LT8BPF20150521013057_20150521020732.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/21,2015:141:01:45:54.7556040,2015:141:01:46:26.5256000,2015/05/20,9,.09,66.72792229,123.26320173,5.131,4.564,641,2,Y,LPGS_2.5.1,34°36'39.13"N,131°59'54.38"E,35°39'48.38"N,131°13'04.80"E,35°16'15.78"N,133°15'52.67"E,33°32'39.77"N,132°45'18.40"E,33°56'10.36"N,130°45'02.23"E,34.61087,131.99844,35.66344,131.218,35.27105,133.26463,33.54438,132.75511,33.93621,130.75062,LC81120362015141LGN00,LC81120362015141LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81120362015141LGN00
LC81120352015141LGN00, 112, 035, 112, 035,FULL,NADIR,NOMINAL,N/A,LO8BPF20150521013450_20150521020638.01,LT8BPF20150521013057_20150521020732.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/21,2015:141:01:45:30.8688030,2015:141:01:46:02.6387990,2015/05/20,9,.01,66.11712868,126.4692401,4.402,3.686,306,2,Y,LPGS_2.5.1,36°02'35.41"N,132°24'32.87"E,37°05'47.98"N,131°36'59.83"E,36°42'01.66"N,133°42'01.51"E,34°58'31.76"N,133°10'34.54"E,35°22'14.77"N,131°08'15.18"E,36.04317,132.40913,37.09666,131.61662,36.70046,133.70042,34.97549,133.17626,35.37077,131.13755,LC81120352015141LGN00,LC81120352015141LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81120352015141LGN00
LC81120392015141LGN00, 112, 039, 112, 039,FULL,NADIR,NOMINAL,N/A,LO8BPF20150521013450_20150521020638.01,LT8BPF20150521013057_20150521020732.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/21,2015:141:01:47:06.4371870,2015:141:01:47:38.2071830,2015/05/20,9,19.87,68.10593026,112.80586128,6.016,4.232,220,2,Y,LPGS_2.5.1,30°18'21.53"N,130°49'32.02"E,31°21'23.04"N,130°04'39.43"E,30°58'25.46"N,132°01'34.14"E,29°14'33.18"N,131°33'13.86"E,29°37'31.94"N,129°38'22.63"E,30.30598,130.82556,31.3564,130.07762,30.97374,132.02615,29.24255,131.55385,29.62554,129.63962,LC81120392015141LGN00,LC81120392015141LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81120392015141LGN00
LC81120372015141LGN00, 112, 037, 112, 037,FULL,NADIR,NOMINAL,N/A,LO8BPF20150521013450_20150521020638.01,LT8BPF20150521013057_20150521020732.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/21,2015:141:01:46:18.6508770,2015:141:01:46:50.4208730,2015/05/20,9,.07,67.26662324,119.90911041,5.308,3.95,618,2,Y,LPGS_2.5.1,33°10'36.66"N,131°35'53.12"E,34°13'43.18"N,130°49'44.65"E,33°50'23.14"N,132°50'27.24"E,32°06'41.29"N,132°20'41.42"E,32°30'00.50"N,130°22'20.57"E,33.17685,131.59809,34.22866,130.82907,33.83976,132.8409,32.11147,132.34484,32.50014,130.37238,LC81120372015141LGN00,LC81120372015141LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81120372015141LGN00
LC81120382015141LGN00, 112, 038, 112, 038,FULL,NADIR,NOMINAL,N/A,LO8BPF20150521013450_20150521020638.01,LT8BPF20150521013057_20150521020732.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/21,2015:141:01:46:42.5376780,2015:141:01:47:14.3076740,2015/05/20,9,.32,67.72747779,116.41935275,4.993,4.182,473,2,Y,LPGS_2.5.1,31°44'32.32"N,131°12'27.00"E,32°47'36.17"N,130°26'57.59"E,32°24'27.83"N,132°25'42.35"E,30°40'40.58"N,131°56'41.10"E,31°03'49.14"N,130°00'08.68"E,31.74231,131.2075,32.79338,130.44933,32.40773,132.42843,30.67794,131.94475,31.06365,130.00241,LC81120382015141LGN00,LC81120382015141LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81120382015141LGN00
LC81050302015140LGN00, 105, 030, 105, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20150520005158_20150520012210.01,LT8BPF20150520004805_20150520022522.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/20,2015:140:01:00:15.3607850,2015:140:01:00:47.1307810,2015/05/20,9,17.04,61.98671419,140.5055738,4.993,5.171,301,2,Y,LPGS_2.5.0,43°11'05.10"N,145°28'22.73"E,44°14'40.88"N,144°36'32.54"E,43°49'24.85"N,146°55'19.20"E,42°06'32.76"N,146°18'06.73"E,42°31'36.88"N,144°03'07.70"E,43.18475,145.47298,44.24469,144.60904,43.82357,146.922,42.1091,146.30187,42.52691,144.05214,LC81050302015140LGN00,LC81050302015140LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81050302015140LGN00
LC81140362015139LGN00, 114, 036, 114, 036,FULL,NADIR,NOMINAL,N/A,LO8BPF20150519014711_20150519021723.01,LT8BPF20150519014318_20150519021817.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/19,2015:139:01:58:15.7178550,2015:139:01:58:47.4878510,2015/05/18,9,17.67,66.45511471,124.06983487,4.829,4.324,317,2,Y,LPGS_2.5.0,34°36'38.12"N,128°54'23.22"E,35°39'47.45"N,128°07'33.82"E,35°16'14.81"N,130°10'21.36"E,33°32'38.72"N,129°39'47.09"E,33°56'09.38"N,127°39'31.25"E,34.61059,128.90645,35.66318,128.12606,35.27078,130.1726,33.54409,129.66308,33.93594,127.65868,LC81140362015139LGN00,LC81140362015139LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81140362015139LGN00
LC81070322015138LGN00, 107, 032, 107, 032,FULL,NADIR,NOMINAL,N/A,LO8BPF20150518010355_20150518013543.01,LT8BPF20150518010001_20150518013636.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/18,2015:138:01:13:23.9568200,2015:138:01:13:55.7268160,2015/05/18,9,.51,63.38891371,136.05761864,6.029,3.939,489,2,Y,LPGS_2.5.0,40°19'57.54"N,141°26'18.24"E,41°23'22.49"N,140°36'20.41"E,40°58'47.35"N,142°49'00.77"E,39°15'38.34"N,142°14'24.94"E,39°40'05.48"N,140°05'03.26"E,40.33265,141.4384,41.38958,140.60567,40.97982,142.81688,39.26065,142.24026,39.66819,140.08424,LC81070322015138LGN00,LC81070322015138LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81070322015138LGN00
LC81070312015138LGN00, 107, 031, 107, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20150518010355_20150518013543.01,LT8BPF20150518010001_20150518013636.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/18,2015:138:01:13:00.0700180,2015:138:01:13:31.8400150,2015/05/17,9,.06,62.52562729,138.58704107,5.691,4.402,460,2,Y,LPGS_2.5.0,41°45'34.31"N,141°54'06.34"E,42°49'04.44"N,141°03'13.43"E,42°24'09.58"N,143°18'51.37"E,40°41'08.77"N,142°43'00.88"E,41°05'53.77"N,140°30'55.55"E,41.75953,141.90176,42.8179,141.05373,42.40266,143.31427,40.68577,142.71691,41.09827,140.51543,LC81070312015138LGN00,LC81070312015138LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81070312015138LGN00
LC81060292015131LGN00, 106, 029, 106, 029,FULL,NADIR,NOMINAL,N/A,LO8BPF20150511005810_20150511012846.01,LT8BPF20150511005416_20150511012939.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/11,2015:131:01:06:03.3495500,2015:131:01:06:35.1195460,2015/05/10,9,4.65,59.13769874,144.67501132,5.649,6.569,300,2,Y,LPGS_2.5.0,44°36'29.12"N,144°22'15.96"E,45°40'08.51"N,143°29'19.61"E,45°14'36.60"N,145°51'29.92"E,43°31'52.00"N,145°12'57.46"E,43°57'09.94"N,142°54'51.30"E,44.60809,144.3711,45.66903,143.48878,45.2435,145.85831,43.53111,145.21596,43.95276,142.91425,LC81060292015131LGN00,LC81060292015131LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060292015131LGN00
LC81060302015131LGN00, 106, 030, 106, 030,FULL,NADIR,NOMINAL,N/A,LO8BPF20150511005810_20150511012846.01,LT8BPF20150511005416_20150511012939.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/11,2015:131:01:06:27.2236430,2015:131:01:06:58.9936390,2015/05/10,9,17.63,60.11454624,142.56815442,6.209,6.199,521,2,Y,LPGS_2.5.0,43°11'05.86"N,143°52'32.81"E,44°14'38.98"N,143°00'37.01"E,43°49'30.04"N,145°19'25.07"E,42°06'36.22"N,144°42'22.07"E,42°31'33.42"N,142°27'21.89"E,43.18496,143.87578,44.24416,143.01028,43.82501,145.32363,42.11006,144.70613,42.52595,142.45608,LC81060302015131LGN00,LC81060302015131LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060302015131LGN00
LC81060342015131LGN00, 106, 034, 106, 034,FULL,NADIR,NOMINAL,N/A,LO8BPF20150511005810_20150511012846.01,LT8BPF20150511005416_20150511012939.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/11,2015:131:01:08:02.7496670,2015:131:01:08:34.5196630,2015/05/10,9,.01,63.62645367,132.95234174,3.045,2.515,23,2,Y,LPGS_2.5.0,37°28'28.45"N,142°03'28.98"E,38°31'42.31"N,141°15'06.52"E,38°07'47.75"N,143°22'30.58"E,36°24'22.50"N,142°50'14.03"E,36°48'12.46"N,140°45'43.70"E,37.47457,142.05805,38.52842,141.25181,38.12993,143.37516,36.40625,142.83723,36.80346,140.76214,LC81060342015131LGN00,LC81060342015131LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060342015131LGN00
LC81060322015131LGN00, 106, 032, 106, 032,FULL,NADIR,NOMINAL,N/A,LO8BPF20150511005810_20150511012846.01,LT8BPF20150511005416_20150511012939.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/11,2015:131:01:07:14.9845370,2015:131:01:07:46.7545330,2015/05/10,9,0,61.957622,138.01427174,3.778,3.037,35,2,Y,LPGS_2.5.0,40°19'58.51"N,142°56'13.52"E,41°23'20.72"N,142°06'10.80"E,40°58'52.43"N,144°18'52.34"E,39°15'41.76"N,143°44'25.33"E,39°40'02.24"N,141°35'02.62"E,40.33292,142.93709,41.38909,142.103,40.98123,144.31454,39.2616,143.74037,39.66729,141.58406,LC81060322015131LGN00,LC81060322015131LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060322015131LGN00
LC81060362015131LGN00, 106, 036, 106, 036,FULL,NADIR,NOMINAL,N/A,LO8BPF20150511005810_20150511012846.01,LT8BPF20150511005416_20150511012939.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/05/11,2015:131:01:08:50.5232690,2015:131:01:09:22.2932650,2015/05/10,9,2.17,65.08517709,127.33286218,0,0,-1,-1,Y,LPGS_2.5.0,34°36'37.76"N,141°13'43.28"E,35°39'44.71"N,140°26'50.93"E,35°16'18.70"N,142°29'36.92"E,33°32'40.81"N,141°59'09.92"E,33°56'04.88"N,139°58'55.70"E,34.61049,141.22869,35.66242,140.44748,35.27186,142.49359,33.54467,141.98609,33.93469,139.98214,LC81060362015131LGN00,LC81060362015131LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060362015131LGN00
LC81060352015131LGN00, 106, 035, 106, 035,FULL,NADIR,NOMINAL,N/A,LO8BPF20150511005810_20150511012846.01,LT8BPF20150511005416_20150511012939.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/11,2015:131:01:08:26.6322320,2015:131:01:08:58.4022280,2015/05/10,9,.01,64.38438977,130.21459253,3.863,4.352,15,2,Y,LPGS_2.5.0,36°02'36.28"N,141°38'15.90"E,37°05'46.28"N,140°50'39.84"E,36°42'06.55"N,142°55'40.33"E,34°58'34.93"N,142°24'20.70"E,35°22'11.46"N,140°22'02.60"E,36.04341,141.63775,37.09619,140.8444,36.70182,142.92787,34.97637,142.40575,35.36985,140.36739,LC81060352015131LGN00,LC81060352015131LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060352015131LGN00
LC81060332015131LGN00, 106, 033, 106, 033,FULL,NADIR,NOMINAL,N/A,LO8BPF20150511005810_20150511012846.01,LT8BPF20150511005416_20150511012939.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/11,2015:131:01:07:38.8671020,2015:131:01:08:10.6370980,2015/05/10,9,.01,62.81596818,135.55044148,3.208,3.479,71,2,Y,LPGS_2.5.0,38°54'16.06"N,142°29'26.77"E,39°57'33.73"N,141°40'16.39"E,39°33'23.36"N,143°50'12.01"E,37°50'05.03"N,143°16'53.11"E,38°14'09.24"N,141°10'03.32"E,38.90446,142.49077,39.95937,141.67122,39.55649,143.83667,37.83473,143.28142,38.2359,141.16759,LC81060332015131LGN00,LC81060332015131LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060332015131LGN00
LC81060312015131LGN00, 106, 031, 106, 031,FULL,NADIR,NOMINAL,N/A,LO8BPF20150511005810_20150511012846.01,LT8BPF20150511005416_20150511012939.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/11,2015:131:01:06:51.1019720,2015:131:01:07:22.8719680,2015/05/10,9,4.22,61.05575479,140.35090706,4.789,4.512,226,2,Y,LPGS_2.5.0,41°45'35.53"N,143°23'53.92"E,42°49'03.04"N,142°32'55.79"E,42°24'15.19"N,144°48'34.85"E,40°41'12.70"N,144°12'53.46"E,41°05'50.82"N,142°00'47.23"E,41.75987,143.39831,42.81751,142.54883,42.40422,144.80968,40.68686,144.21485,41.09745,142.01312,LC81060312015131LGN00,LC81060312015131LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81060312015131LGN00
LC81100342015127LGN00, 110, 034, 110, 034,FULL,NADIR,NOMINAL,N/A,LO8BPF20150507012233_20150507015421.01,LT8BPF20150507011839_20150507015514.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/07,2015:127:01:32:49.4272000,2015:127:01:33:21.1971960,2015/05/06,9,18.66,62.74817824,134.31176958,3.732,3.668,50,2,Y,LPGS_2.5.0,37°28'28.52"N,135°52'31.04"E,38°31'42.38"N,135°04'08.08"E,38°07'47.68"N,137°11'32.86"E,36°24'22.64"N,136°39'16.31"E,36°48'12.71"N,134°34'45.34"E,37.47459,135.87529,38.52844,135.06891,38.12991,137.19246,36.40629,136.65453,36.80353,134.57926,LC81100342015127LGN00,LC81100342015127LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81100342015127LGN00
LC81120392015125LGN00, 112, 039, 112, 039,FULL,NADIR,NOMINAL,N/A,LO8BPF20150505013457_20150505020621.01,LT8BPF20150505013103_20150505020714.01,L8CPF20150401_20150630.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/05,2015:125:01:47:12.9837590,2015:125:01:47:44.7537550,2015/05/04,9,11.03,65.72676417,120.92738901,6.226,3.878,167,2,Y,LPGS_2.5.0,30°18'22.25"N,130°47'02.47"E,31°21'21.53"N,130°02'06.94"E,30°58'30.00"N,131°59'01.18"E,29°14'36.02"N,131°30'47.41"E,29°37'28.92"N,129°35'56.76"E,30.30618,130.78402,31.35598,130.03526,30.975,131.98366,29.24334,131.51317,29.6247,129.5991,LC81120392015125LGN00,LC81120392015125LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81120392015125LGN00
LC81120352015125LGN00, 112, 035, 112, 035,FULL,NADIR,NOMINAL,N/A,LO8BPF20150505013457_20150505020621.01,LT8BPF20150505013103_20150505020714.01,L8CPF20150401_20150630.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/05,2015:125:01:45:37.4365550,2015:125:01:46:09.2065510,2015/05/04,9,.09,63.07724635,132.43395755,4.13,4.376,291,2,Y,LPGS_2.5.0,36°02'36.02"N,132°21'38.77"E,37°05'46.14"N,131°34'02.03"E,36°42'06.19"N,133°39'03.56"E,34°58'34.64"N,133°07'44.11"E,35°22'11.42"N,131°05'25.08"E,36.04334,132.36077,37.09615,131.56723,36.70172,133.65099,34.97629,133.12892,35.36984,131.0903,LC81120352015125LGN00,LC81120352015125LGN00,https://earthexplorer.usgs.gov/browse/4923/LC81120352015125LGN00
