LIBMIN,PMUN13,SURFACE,DENSITE,LAT,LONG
Avusy,1426,5.2,274.8,46.1516784,5.9947436
Ayent,3791,55.0,68.8,46.2813475,7.4124969
Baar,22576,24.8,909.2,47.1948302,8.5256134
Bachenbülach,4047,4.3,939.0,47.5048139,8.5474099
Bachs,610,9.2,66.8,47.5253778,8.4397426
BadRagaz,5681,25.4,223.7,47.0034141,9.5011062
BadZurzach,4173,6.5,640.0,47.5877895,8.2933248
Baden,18553,13.2,1407.7,47.4736827,8.3086822
Bäretswil,4914,22.2,221.5,47.3360247,8.8580536
Bäriswil,1026,2.8,375.8,47.0186014,7.52538
Bärschwil,808,11.2,72.0,47.3820245,7.4730851
Bätterkinden,3142,10.1,308.9,47.1317799,7.5398908
Bättwil,1185,1.7,709.6,47.489892,7.5094188
Bagnes,7919,282.2,28.1,46.073400,7.219900
Baldingen,274,2.8,96.8,47.554707,8.313637
Balerna,3359,2.6,1307.0,45.8491908,9.0070811
Balgach,4536,6.5,697.8,47.4068832,9.6062727
Ballaigues,987,9.1,109.3,46.7305278,6.4132441
Ballens,484,8.5,57.1,46.5542745,6.3750843
Ballwil,2611,8.7,298.4,47.1521716,8.3185717
BalmbeiGünsberg,190,5.5,34.7,47.2528249,7.5581848
Balsthal,5836,15.7,371.5,47.3140365,7.6947764
Baltschieder,1268,31.4,40.3,46.3079079,7.8646512
Bangerten,153,2.2,69.9,47.0557511,7.4488838
Bannwil,691,4.8,144.3,47.2384563,7.7365599
Barberêche,531,9.1,57.9,46.8568241,7.159076
Bardonnex,2219,5.0,443.8,46.1499139,6.1051191
Bargen(BE),1001,7.9,127.2,47.0376374,7.2641407
Bargen(SH),290,8.3,35.1,47.794284,8.59208270375
Bas-Intyamon,1225,33.3,36.8,46.56277255,7.0966531065
Bas-Vully,2033,10.0,204.3,46.96965175,7.11496219748
Basadingen-Schlattingen,1771,15.7,113.2,47.66001205,8.75464085818
Basel,167386,24.0,7000.7,47.5581077,7.5878261
Basse-Allaine,1272,23.0,55.2,47.47124,7.0362190941
Bassersdorf,11350,9.0,1258.3,47.443782,8.6317499
Bassins,1303,20.9,62.7,46.464053,6.2316394
Bauen,172,3.8,45.5,46.9352763,8.5794973
Baulmes,1016,22.6,45.1,46.7903981,6.5212523
Bauma,4307,20.8,207.0,47.3677633,8.8792873
Bavois,878,9.3,94.0,46.6851492,6.5652003
Beatenberg,1150,29.2,39.3,46.6932513,7.783279
Beckenried,3387,24.3,139.8,46.9664093,8.4744947
Bedano,1529,1.9,817.6,46.0508673,8.9196673
Bedigliora,639,2.5,257.7,46.0025871,8.840805
Bedretto,90,75.2,1.2,46.5061841,8.5102486
Beggingen,505,12.6,40.1,47.7669075,8.5370699
Begnins,1657,4.8,346.7,46.4424616,6.2471998
Beinwil(Freiamt),1069,11.3,94.8,47.227352,8.337645462
Beinwil(SO),271,22.7,12.0,47.3608078,7.5792172
BeinwilamSee,2964,3.9,771.9,47.2662921,8.202477
Belfaux,2992,6.4,463.2,46.8216259,7.1068684
Bellach,5163,5.3,979.7,47.2134073,7.4983313
Bellevue,3247,4.4,746.4,46.255,6.154317
Bellikon,1563,4.9,315.8,47.3900433,8.3461275
Bellinzona,17962,19.1,938.0,46.1918617,9.0204562
Bellmund,1582,3.8,416.3,47.1071376,7.2467743
Bellwald,435,13.7,31.8,46.42566935,8.15965197134
Belmont-sur-Lausanne,3545,2.6,1337.7,46.52639735,6.68668677441
Belmont-sur-Yverdon,358,6.5,55.3,46.7454798,6.6241604
Belp,11346,23.3,487.2,46.88978,7.498388
Belprahon,314,3.8,82.0,47.2828128,7.4059657
Benken(SG),2803,16.4,170.4,47.1929882,8.99639483783
Benken(ZH),828,5.7,146.3,47.65382545,8.65509421729
Bennwil,643,6.5,98.8,47.4041393,7.7801695
Bercher,1149,4.2,270.4,46.6920285,6.7089748
Berg(SG),838,3.8,224.1,47.4866016,9.4066582
Berg(TG),3256,13.1,248.7,47.5825434,9.16695544546
BergamIrchel,578,7.1,82.3,47.5697868,8.5981791
Bergdietikon,2524,6.0,425.6,47.3898401,8.3865262
Bergün/Bravuogn,455,145.6,3.1,46.62158035,9.79439240174
Berikon,4490,5.4,836.1,47.3528355,8.3701013
Beringen,4118,18.6,220.9,47.6975693,8.5733833
Berken,43,1.4,30.9,47.2280236,7.7108261
Berlingen,866,3.6,243.3,47.6742327,9.0179348
Bern,128848,51.6,2496.1,46.9482713,7.4514512
Berneck,3798,5.6,674.6,47.4249019,9.6102137
Bernex,9758,13.0,753.5,46.1746834,6.0717252
Berolle,298,9.6,31.0,46.5583845,6.3373241
Beromünster,6112,42.2,144.9,47.2076373,8.1924386
Besenbüren,576,2.4,242.0,47.3123219,8.3439287
Bettenhausen,679,4.0,172.3,47.1733944,7.7105281
Bettens,434,3.8,115.7,46.6275904,6.5770883
Bettingen,1150,2.2,515.7,47.5714149,7.6639831
Bettlach,4835,12.2,396.0,47.2017347,7.4254322
Bettmeralp,439,29.4,15.0,46.3905995,8.0628825
Bettwiesen,1149,3.9,298.4,47.4973239,9.0238237
Bettwil,561,4.3,132.0,47.2901072,8.2657286
Beurnevésin,131,5.1,25.7,47.4924898,7.1363556
Bevaix,3872,10.8,359.2,46.9297213,6.8105995
Bever,633,45.7,13.8,46.551824,9.889063
Bévilard,1730,5.8,304.6,47.2366248,7.2839509
Bex,6848,96.6,70.9,46.2473747,7.0107759
Biasca,6164,59.1,104.2,46.3606274,8.9714023
Biberist,8124,12.2,660.5,47.1810605,7.5626086
Biberstein,1492,4.1,363.0,47.4140107,8.081917
Bichelsee-Balterswil,2757,12.2,224.7,47.4487807,8.9249412
Biel-Benken,3255,4.1,790.0,47.506771,7.520962
Biel/Bienne,53031,21.3,2497.9,47.1420451,7.2585667
Bière,1508,25.0,60.3,46.5373773,6.3337235
Biezwil,331,4.2,79.2,47.1142574,7.4171424
Biglen,1747,3.6,486.6,46.93136,7.621186
Billens-Hennens,670,4.9,137.6,46.6852429,6.8893378
Binn,153,65.0,2.4,46.3645702,8.1843739
Binningen,14905,4.5,3364.6,47.53656,7.570077
Bioggio,2560,6.5,398.1,46.0141052,8.9076167
Bioley-Magnoux,184,4.3,43.1,46.7255605,6.7108156
Bioley-Orjulaz,456,3.1,146.6,46.6211356,6.5984553
Birmensdorf(ZH),6087,11.4,532.5,47.35195245,8.43963311704
Birmenstorf(AG),2856,7.8,366.6,47.4610787,8.2494191
Birr,4318,5.0,855.0,47.4345344,8.2029778
Birrhard,663,3.0,221.7,47.4336975,8.2441563
Birrwil,1003,3.4,293.3,47.2903395,8.1965202
Birsfelden,10234,2.5,4061.1,47.5542152,7.6304739
Birwinken,1326,12.3,107.4,47.5821126,9.1976761
Bischofszell,5689,11.7,489.6,47.4927234,9.2396553
Bissone,879,1.8,483.0,45.9506538,8.9651807
Bister,30,5.8,5.1,46.3625983,8.0664825
Bitsch,856,4.1,212.9,46.3374019,8.0136014
Bivio,196,76.7,2.6,46.4689835,9.6506162
Blatten,290,90.7,3.2,46.4205806,7.8192935
Blauen,688,7.1,96.5,47.4489135,7.51876
Bleienbach,661,5.7,116.2,47.1856551,7.7561202
Blenio,1708,202.2,8.5,46.503674,8.9357418
Blitzingen,76,11.8,6.4,46.4437481,8.2023646
Blonay,6069,16.0,377.2,46.4650397,6.8951981
Blumenstein,1163,15.5,74.9,46.7412152,7.5208259
Bodio,1042,6.4,161.8,46.3794364,8.9105754
Böbikon,163,2.6,62.9,47.553567,8.3330155
Böckten,792,2.3,347.4,47.4634028,7.8387155
Boécourt,893,12.3,72.3,47.3478979,7.2141992
Bönigen,2520,15.1,166.7,46.6887343,7.8949281
Bösingen,3309,14.3,230.8,46.8924179,7.2273544
Böttstein,3711,7.5,500.8,47.5568329,8.221822
Bözberg,1539,15.6,99.2,47.4859175,8.14858266122
Bözen,746,3.9,188.9,47.4957654,8.0835501
Bofflens,186,4.2,44.1,46.7045569,6.4989467
Bogis-Bossey,884,2.5,360.8,46.3516938,6.1649015
Bolken,583,2.1,275.0,47.1925815,7.66363
Bolligen,6078,16.6,367.0,46.9755611,7.4983298
Boltigen,1313,77.0,17.0,46.6295364,7.3907814
Bonaduz,3036,14.5,210.8,46.81132,9.3984396
Boncourt,1253,9.0,139.1,47.4979359,7.0127433
Bonfol,675,13.6,49.7,47.4767014,7.1523017
Boningen,729,2.8,262.2,47.306211,7.8551946
Boniswil,1409,2.4,584.6,47.3161474,8.1863603
Bonstetten,5260,7.5,707.9,47.3153737,8.4670478
Bonvillars,515,7.5,68.3,46.8375743,6.6706023
Boppelsen,1311,3.9,331.1,47.4708527,8.4026156
Borex,891,2.0,450.0,46.379071,6.1777222
Bosco/Gurin,56,22.1,2.5,46.3168733,8.491998
Bossonnens,1429,4.1,348.5,46.5257099,6.851697
Boswil,2603,11.8,221.2,47.3004361,8.3137505
Bottens,1229,6.9,178.4,46.6169088,6.6607269
Bottenwil,787,5.1,154.3,47.2854555,8.0052577
Botterens,521,4.2,125.5,46.6179671,7.1123024
Bottighofen,2124,2.4,888.7,47.6386883,9.2068831
Bottmingen,6314,3.0,2111.7,47.5234501,7.5748727
Boudry,5293,16.7,315.6,46.954300,6.847800
Bougy-Villars,423,1.8,239.0,46.4787593,6.3545367
Boulens,314,3.4,91.3,46.681059,6.7192139
Bourg-en-Lavaux,5118,9.7,530.4,46.50476465,6.73217488048
Bourg-Saint-Pierre,194,90.2,2.2,45.9489252,7.2088271
Bournens,334,3.9,85.6,46.6041672,6.5633012
Bourrignon,269,13.6,19.9,47.3966596,7.245026
Boussens,915,3.2,290.5,46.6023159,6.5846332
Bovernier,835,12.9,64.9,46.0799974,7.0868391
Bowil,1357,14.7,92.4,46.8929537,7.6950678
Braggio,51,6.9,7.4,46.3036172,9.1242456
Braunau,726,9.2,79.2,47.5037349,9.0723534
Bregaglia,1564,251.4,6.2,46.3464763,9.5970418
Breggia,1966,25.6,77.2,45.8795054,9.0337297
Breil/Brigels,1290,50.8,25.4,46.7675632,9.0622845
Breitenbach,3635,6.8,534.6,47.4078339,7.5442563
Bremblens,486,3.0,167.6,46.5461677,6.51777
Bremgarten(AG),7669,11.3,675.1,47.3539569,8.3376446
BremgartenbeiBern,4329,1.9,2266.5,46.9756803,7.4372643
Brenles,145,3.8,37.9,46.6712187,6.8538119
Brenzikofen,520,2.2,236.4,46.815044,7.616377
Bretigny-sur-Morrens,740,2.9,258.7,46.603088,6.64250804337
Bretonnières,233,5.5,42.8,46.7122384,6.4734908
Bretzwil,759,7.4,103.5,47.39450415,7.6510766946
Brienz(BE),2998,48.0,62.5,46.730728,8.05100390967
Brienz/Brinzauls,128,13.4,9.6,46.66836645,9.59556226105
Brienzwiler,481,17.6,27.2,46.7501194,8.1021125
Brig-Glis,12823,38.0,336.7,46.28873245,7.97530837336
Brione(Verzasca),193,48.5,4.0,46.2964054,8.790704
BrionesopraMinusio,527,3.8,137.2,46.1828879,8.814573
Brislach,1610,9.4,171.5,47.4181317,7.5433687
Brissago,1802,17.8,101.3,46.1200663,8.7121456
Brittnau,3773,13.7,275.6,47.2586821,7.9466147
Broc,2500,10.1,249.0,46.6044669,7.0989913
Brot-Dessous,105,5.0,21.2,46.9556314,6.7474668
Brot-Plamboz,247,16.1,15.4,46.98803565,6.75288908368
Brügg,4251,5.0,851.9,47.123700,7.281300  
Brünisried,651,3.2,200.3,46.759000,7.278800
Brüttelen,581,6.6,87.8,47.0229548,7.148366
Brütten,2009,6.7,303.9,47.4731491,8.6753241
Brugg,10909,6.3,1715.3,47.4824633,8.2085662
Brunegg,687,1.5,440.4,47.419239,8.21607
BrusinoArsizio,472,4.1,116.8,45.9243521,8.9349974
Brusio,1116,46.3,24.1,46.2583839,10.1254143
Bubendorf,4414,10.8,408.7,47.446684,7.73535
Bubikon,6933,11.6,597.7,47.2682923,8.8191613
Buch(SH),313,3.8,82.6,47.7165277,8.78153075575
BuchamIrchel,921,10.1,89.8,47.547766,8.622105
Buchberg,847,5.9,143.8,47.5726201,8.56076
Buchegg,2524,22.8,111.5,47.4076707,8.9430079
Buchholterberg,1544,15.3,100.8,46.81936665,7.6855685824
Buchillon,642,2.2,301.4,46.4702466,6.4230108
Buchrain,6143,4.8,1277.1,47.0941034,8.3472568
Buchs(AG),7407,5.3,1389.7,47.3910322,8.0692413
Buchs(SG),11938,16.0,748.5,47.16994945,9.47645347521
Buchs(ZH),6201,5.9,1061.8,47.4586105,8.44079859928
Buckten,692,2.0,347.7,47.4101163,7.8447464
Büetigen,775,3.6,214.7,47.1055937,7.3410348
Bühl,413,3.0,138.6,47.233207,9.1781106
Bühler,1702,5.6,303.4,47.3743991,9.4233806
Bülach,18408,16.1,1144.1,47.5200297,8.5433074
Bünzen,1009,5.8,174.9,47.3116613,8.3260392
Bürchen,725,13.4,53.9,46.2805676,7.8163191
Büren(SO),935,6.2,150.1,47.4476657,7.66845776943
BürenanderAare,3444,12.6,273.3,47.1395743,7.3747968
Bürglen(TG),3501,11.7,299.7,47.5523539,9.15016615316
Bürglen(UR),3954,53.1,74.6,46.8943387,8.68876203354
Büron,2280,5.4,421.4,46.7819176,6.6518691
Büsserach,2084,7.6,276.0,47.3915791,7.5405238
Bütschwil-Ganterschwil,4541,21.8,208.2,47.35859585,9.0791539368
Büttenhardt,359,4.0,89.3,47.7560054,8.6538298
Büttikon,959,2.8,340.1,47.3260147,8.2677621
Bulle,20824,23.9,872.4,46.6146237,7.0593812
Bullet,603,16.9,35.8,46.8309314,6.5546431
Buochs,5314,9.9,534.1,46.9739978,8.4205883
Bure,671,13.7,49.0,47.2142552,8.0946583
Burg(AG),965,0.9,1026.6,47.2352641,8.1786611
BurgimLeimental,252,2.8,89.0,47.4576124,7.438715
Burgdorf,15907,15.6,1019.7,47.0587695,7.6230744
Burgistein,1019,7.5,135.3,46.790773,7.503173
Bursinel,475,1.8,268.4,46.438423,6.3053467
Bursins,785,3.4,232.9,46.4515535,6.2906369
Burtigny,355,5.7,62.5,46.4687203,6.2567707
Buseno,92,11.2,8.3,46.2731557,9.1066178
Bussigny,8167,4.8,1694.4,46.5683498,6.8601766
Bussnang,2196,19.0,116.1,47.5580779,9.0797264
BusswilbeiMelchnau,194,2.8,67.6,47.1858372,7.8316284
Bussy(FR),406,3.6,112.8,46.8353706,6.8879852
Bussy-Chardonney,382,3.1,125.2,46.5288982,6.4426135
Bussy-sur-Moudon,185,3.1,59.9,46.6912116,6.81096700343
Buttisholz,3307,16.8,197.6,47.1139601,8.0935047
Buttwil,1159,4.5,256.4,47.267594,8.3112049
Buus,980,8.9,110.7,47.5055264,7.8650401
Cademario,747,3.9,188.6,46.0211947,8.8942577
Cadempino,1512,0.8,1989.5,46.0333917,8.9314621
Cadenazzo,2544,8.4,303.9,46.1509697,8.9458703
Cama,562,15.1,37.5,46.2708976,9.168881
Camorino,2749,8.3,332.0,46.1636431,9.0057614
Campo(Vallemaggia),51,43.3,1.2,46.28887,8.496085
Canobbio,2065,1.3,1588.5,46.0349781,8.9670996
Capriasca,6458,36.3,177.7,46.0673692,8.9714894
Carouge(GE),20630,2.7,7640.7,46.1846691,6.1396839
Carrouge(VD),1093,5.4,201.7,46.602584,6.77374053868
Cartigny,861,4.4,196.6,46.1736699,6.021701
Caslano,4256,2.8,1498.6,45.9708722,8.8836544
Castaneda,240,3.9,60.6,46.2585516,9.1397673
CastelSanPietro,2069,11.8,174.9,45.8631731,9.0065607
Casti-Wergenstein,53,25.6,2.1,46.613727,9.357231
Cauco,35,10.9,3.2,46.3358492,9.1205475
Cazis,2170,31.2,69.6,46.7377176,9.40353862283
Celerina/Schlarigna,1488,24.0,61.9,46.50300375,9.86801928487
Céligny,657,4.7,141.3,46.3505844,6.1949435
Centovalli,1177,51.4,22.9,46.15545525,8.65780379295
Cerentino,61,20.1,3.0,46.3055145,8.5466526
Cevio,1163,151.3,7.7,46.3169604,8.6018223
Châbles,718,4.8,151.5,46.8266534,6.8097105
Chalais,3286,24.5,134.3,46.2654381,7.5085408
Cham,15375,17.8,868.2,47.183032,8.461843
Chamblon,581,2.9,203.1,46.7772764,6.6044112
Chamoson,3365,32.4,103.6,46.2033918,7.2218877
Champagne,1001,3.9,255.4,48.9657521,6.5811461
Champéry,1256,39.0,32.3,46.1756791,6.8687665
Champoz,157,7.2,21.9,47.2553622,7.2991767
Champtauroz,137,3.0,44.9,46.760598,6.789151
Champvent,589,9.0,65.2,46.7828052,6.5726094
Chancy,1373,5.4,256.2,46.1500072,5.9713338
Chapelle(Glâne),262,2.0,129.1,46.58757235,6.83763427628
Chardonne,2824,10.3,273.6,46.4770903,6.8271259
Charrat,1552,7.6,203.9,46.1220633,7.1347402
Château-d'Oex,3358,113.6,29.5,46.4739581,7.13056
Châtel-Saint-Denis,6275,47.9,131.0,46.5265288,6.8996536
Châtel-sur-Montsalvens,254,2.0,124.5,46.6139677,7.1290698
Châtelat,105,4.2,25.3,47.2722989,7.1944964
Châtillon(FR),408,1.3,311.5,46.8297588,6.83065132783
Châtillon(JU),453,5.3,85.3,47.321781,7.34587603911
Châtonnaye,738,6.3,117.0,46.752828,6.938321
Chavannes-de-Bogis,1210,2.9,424.6,46.3446425,6.1625796
Chavannes-des-Bois,823,2.2,384.6,46.3147141,6.132561
Chavannes-le-Chêne,275,4.0,69.1,46.7768814,6.7780279
Chavannes-le-Veyron,129,2.7,49.0,46.60645,6.4509017
Chavannes-près-Renens,7193,1.7,4359.4,46.5293467,6.57299345492
Chavannes-sur-Moudon,238,5.2,46.3,46.66128225,6.81857913591
Chavornay,3967,11.1,359.0,46.706261,6.5693871
Cheiry,371,6.5,57.3,46.7503827,6.8363756
Chêne-Bougeries,10559,4.1,2556.7,46.1963639,6.1854072
Chêne-Bourg,8080,1.3,6312.5,46.1944235,6.1929415
Chêne-Pâquier,125,2.1,59.0,46.771165,6.7684976
Chénens,705,4.0,178.5,46.7421445,7.0005601
Chermignon,3055,5.4,567.8,46.2889297,7.4750848
Chesalles-sur-Moudon,153,1.7,91.6,46.67551215,6.83516178803
Cheseaux-Noréaz,667,6.1,110.6,46.7820326,6.6718258
Cheseaux-sur-Lausanne,4035,4.6,879.1,46.58428235,6.59912480395
Chéserex,1227,10.6,116.2,46.3997632,6.1737875
Chésopelloz,132,1.7,81.5,46.8070066,7.0792605
Chessel,351,3.6,98.3,46.3495725,6.8944469
Chevilly,248,3.8,64.1,46.642766,6.4771672
Chevroux,406,4.4,92.9,46.8899997,6.9056926
Chexbres,2101,2.2,981.8,46.4820624,6.7767267
Cheyres,1338,5.1,260.8,46.8151839,6.7882107
Chiasso,8074,5.3,1514.8,45.8355209,9.0290169
Chigny,338,0.9,375.6,46.5201861,6.4773257
Chippis,1660,2.0,838.4,46.2805414,7.5406261
Choulex,1056,3.9,270.1,46.2231863,6.2242767
Chur,34350,28.0,1222.9,46.855515,9.5254066
Churwalden,2062,48.6,42.5,46.7784526,9.5429675
Clarmont,149,1.0,149.0,46.5474321,6.4501584
Claro,2753,21.2,129.7,46.2552548,9.0231951
Clavaleyres,49,1.0,48.5,46.8995207,7.090773
ClosduDoubs,1301,61.8,21.1,47.35,7.15
Coeuve,700,11.6,60.2,47.454155,7.0975919
Coinsins,398,2.9,136.8,46.4245995,6.2359205
Coldrerio,2750,2.5,1117.9,45.8538378,8.9871005
Collex-Bossy,1653,6.9,239.9,46.2750887,6.1182722
Collinad'Oro,4525,6.1,741.8,45.9821607,8.917103
Collombey-Muraz,7982,29.8,267.8,46.2869562,6.92463990618
Collonge-Bellerive,7570,6.1,1236.9,46.2537418,6.2045928
Collonges,674,12.2,55.2,46.1714906,7.0347121
Cologny,4981,3.7,1357.2,46.2163962,6.1817613
Comano,2061,2.0,1000.5,46.0373052,8.953266
Commugny,2784,6.5,427.6,46.3182308,6.1757684
Concise,947,11.4,83.1,46.8530388,6.7207967
Confignon,4373,2.8,1578.7,46.1742486,6.0851643
ContersimPrättigau,223,18.4,12.1,46.9106,9.8116
Conthey,8195,85.1,96.4,46.2279796,7.3044209
Coppet,3081,1.9,1647.6,46.316338,6.1929509
Corban,462,7.9,58.9,47.3465129,7.4756211
Corbeyrier,408,22.0,18.6,46.3495001,6.9597544
Corbières,776,9.6,80.8,46.6582727,7.1077166
Corcelles(BE),212,6.8,31.3,47.29259045,7.47305352224
Corcelles-Cormondrèche,4681,4.9,963.2,46.9852153,6.8688571
Corcelles-le-Jorat,440,8.0,55.5,46.6058744,6.7407986
Corcelles-près-Concise,310,4.1,75.8,46.8480696,6.7079314
Corcelles-près-Payerne,2051,12.1,169.1,46.84382325,6.96849906538
Corcelles-sur-Chavornay,340,5.5,62.0,46.7040637,6.59869176595
Corgémont,1621,17.6,92.0,47.195587,7.1438589
Corippo,12,7.7,1.6,46.235373,8.8408347
Corminboeuf,2180,5.6,387.9,46.8116318,7.1052486
Cormoret,481,13.5,35.7,47.1720786,7.0529541
Cornaux,1585,4.7,335.8,47.0383306,7.0188056
Cornol,965,10.5,92.4,47.4073679,7.1612963
Corpataux-Magnedens,1264,4.5,289.2,46.7413617,7.0948294
Corseaux,2132,1.1,2011.3,46.471037,6.82756
Corserey,390,3.5,113.4,46.7731527,6.9922571
Corsier(GE),1981,2.8,723.0,46.2626753,6.2250187
Corsier-sur-Vevey,3338,6.7,494.5,46.4937934,6.87160122387
Cortaillod,4702,3.7,1274.3,46.9432319,6.8458944
Cortébert,714,14.8,48.3,47.1903025,7.107598
